Name,Number of Sockets,Cores,Mark,Thread Mark,TDP (W),Category,Prices,Release Date,Release Price,Power Perf.,Value,Thread Value
[Dual CPU] Intel Xeon Platinum 8380 @ 2.30GHz,2,40,91485.0,2384.0,270.0,Server,"[(Timestamp('2021-04-01 00:00:00'), 8099.0), (Timestamp('2022-04-03 00:00:00'), 8978.0)]",2021-04-01,8099.0,338.8333333333333,11.295838992468205,0.2943573280651932
[Dual CPU] Intel Xeon E5-2698 v3 @ 2.30GHz,2,16,32130.0,2034.0,135.0,Server,"[(Timestamp('2023-04-20 00:00:00'), 8250.0)]",,,238.0,3.8945454545454545,0.24654545454545454
[Dual CPU] Intel Xeon Platinum 8260M @ 2.30GHz,2,24,55297.0,2472.0,165.0,Server,"[(Timestamp('2019-04-02 00:00:00'), 7705.0)]",2019-04-02,7705.0,335.1333333333333,7.176768332251784,0.3208306294613887
[Dual CPU] AMD Ryzen Threadripper PRO 3995WX,2,64,113693.0,2559.0,280.0,"Desktop, Server","[(Timestamp('2021-03-03 00:00:00'), 5489.99), (Timestamp('2021-03-25 00:00:00'), 5488.99), (Timestamp('2021-05-19 00:00:00'), 5799.99), (Timestamp('2021-05-21 00:00:00'), 5489.99), (Timestamp('2021-06-06 00:00:00'), 5488.99), (Timestamp('2021-06-09 00:00:00'), 5486.99), (Timestamp('2021-07-17 00:00:00'), 5484.99), (Timestamp('2021-08-19 00:00:00'), 5483.99), (Timestamp('2021-09-26 00:00:00'), 5481.99), (Timestamp('2021-10-01 00:00:00'), 5479.99), (Timestamp('2021-10-02 00:00:00'), 5469.0), (Timestamp('2021-10-24 00:00:00'), 5289.99), (Timestamp('2021-11-04 00:00:00'), 6296.55), (Timestamp('2021-11-05 00:00:00'), 6303.55), (Timestamp('2021-11-07 00:00:00'), 6273.55), (Timestamp('2021-11-09 00:00:00'), 6280.55), (Timestamp('2021-11-10 00:00:00'), 6281.55), (Timestamp('2021-11-11 00:00:00'), 6283.55), (Timestamp('2021-11-13 00:00:00'), 6212.55), (Timestamp('2021-11-14 00:00:00'), 6229.55), (Timestamp('2021-11-16 00:00:00'), 6239.55), (Timestamp('2021-11-18 00:00:00'), 6231.55), (Timestamp('2021-11-19 00:00:00'), 6275.55), (Timestamp('2021-11-20 00:00:00'), 6211.55), (Timestamp('2021-11-22 00:00:00'), 6640.63), (Timestamp('2021-12-10 00:00:00'), 6809.99), (Timestamp('2021-12-12 00:00:00'), 6102.55), (Timestamp('2021-12-13 00:00:00'), 6101.55), (Timestamp('2021-12-14 00:00:00'), 6096.55), (Timestamp('2021-12-15 00:00:00'), 6063.55), (Timestamp('2021-12-17 00:00:00'), 5683.22), (Timestamp('2021-12-20 00:00:00'), 5653.22), (Timestamp('2021-12-21 00:00:00'), 5640.22), (Timestamp('2021-12-22 00:00:00'), 5655.22), (Timestamp('2021-12-24 00:00:00'), 5668.22), (Timestamp('2021-12-25 00:00:00'), 5679.22), (Timestamp('2021-12-26 00:00:00'), 5672.22), (Timestamp('2021-12-27 00:00:00'), 5611.22), (Timestamp('2021-12-28 00:00:00'), 5605.22), (Timestamp('2021-12-29 00:00:00'), 5619.22), (Timestamp('2021-12-30 00:00:00'), 5607.22), (Timestamp('2021-12-31 00:00:00'), 5626.22), (Timestamp('2022-01-01 00:00:00'), 5644.22), (Timestamp('2022-01-02 00:00:00'), 6061.55), (Timestamp('2022-01-04 00:00:00'), 5975.55), (Timestamp('2022-01-05 00:00:00'), 5943.55), (Timestamp('2022-01-06 00:00:00'), 6008.55), (Timestamp('2022-01-07 00:00:00'), 5953.55), (Timestamp('2022-01-08 00:00:00'), 5987.55), (Timestamp('2022-01-09 00:00:00'), 6024.55), (Timestamp('2022-01-10 00:00:00'), 6025.55), (Timestamp('2022-01-11 00:00:00'), 5999.55), (Timestamp('2022-01-12 00:00:00'), 5996.55), (Timestamp('2022-01-13 00:00:00'), 6225.55), (Timestamp('2022-01-14 00:00:00'), 6234.55), (Timestamp('2022-01-15 00:00:00'), 6228.55), (Timestamp('2022-01-16 00:00:00'), 6201.55), (Timestamp('2022-01-17 00:00:00'), 7843.64), (Timestamp('2022-02-11 00:00:00'), 6729.99), (Timestamp('2022-02-12 00:00:00'), 6734.99), (Timestamp('2022-02-15 00:00:00'), 6741.99), (Timestamp('2022-02-16 00:00:00'), 6728.99), (Timestamp('2022-02-18 00:00:00'), 6871.99), (Timestamp('2022-02-19 00:00:00'), 6692.99), (Timestamp('2022-02-23 00:00:00'), 6712.99), (Timestamp('2022-02-24 00:00:00'), 6699.99), (Timestamp('2022-02-26 00:00:00'), 6813.99), (Timestamp('2022-03-01 00:00:00'), 6871.99), (Timestamp('2022-03-02 00:00:00'), 6808.0), (Timestamp('2022-03-03 00:00:00'), 6762.84), (Timestamp('2022-03-05 00:00:00'), 5790.11), (Timestamp('2022-03-06 00:00:00'), 5798.22), (Timestamp('2022-03-07 00:00:00'), 5796.22), (Timestamp('2022-03-08 00:00:00'), 5806.22), (Timestamp('2022-03-09 00:00:00'), 5751.22), (Timestamp('2022-03-10 00:00:00'), 6720.0), (Timestamp('2022-03-14 00:00:00'), 9733.91), (Timestamp('2022-03-15 00:00:00'), 9344.55), (Timestamp('2022-03-16 00:00:00'), 8970.76), (Timestamp('2022-03-17 00:00:00'), 8611.92), (Timestamp('2022-03-18 00:00:00'), 8267.44), (Timestamp('2022-03-19 00:00:00'), 7936.74), (Timestamp('2022-03-20 00:00:00'), 6506.91), (Timestamp('2022-03-21 00:00:00'), 7843.64), (Timestamp('2022-03-23 00:00:00'), 6871.99), (Timestamp('2022-03-24 00:00:00'), 6493.15), (Timestamp('2022-03-25 00:00:00'), 6709.96), (Timestamp('2022-03-27 00:00:00'), 6720.0), (Timestamp('2022-03-30 00:00:00'), 5847.22), (Timestamp('2022-03-31 00:00:00'), 5851.22), (Timestamp('2022-04-05 00:00:00'), 6807.98), (Timestamp('2022-04-30 00:00:00'), 6649.96), (Timestamp('2022-05-01 00:00:00'), 6807.98), (Timestamp('2022-05-22 00:00:00'), 7480.0), (Timestamp('2022-06-08 00:00:00'), 6299.98), (Timestamp('2022-06-11 00:00:00'), 7459.79), (Timestamp('2022-06-27 00:00:00'), 6299.99), (Timestamp('2022-07-02 00:00:00'), 7459.79), (Timestamp('2022-07-05 00:00:00'), 6999.99), (Timestamp('2022-07-08 00:00:00'), 7459.79), (Timestamp('2022-07-12 00:00:00'), 6999.99), (Timestamp('2022-07-14 00:00:00'), 7459.79), (Timestamp('2022-07-17 00:00:00'), 6999.99), (Timestamp('2022-07-18 00:00:00'), 7998.9), (Timestamp('2022-07-20 00:00:00'), 6999.99), (Timestamp('2022-07-22 00:00:00'), 7998.9), (Timestamp('2022-07-23 00:00:00'), 6999.99), (Timestamp('2022-07-25 00:00:00'), 7997.99), (Timestamp('2022-07-28 00:00:00'), 6999.99), (Timestamp('2022-07-29 00:00:00'), 7997.99), (Timestamp('2022-08-02 00:00:00'), 6888.83), (Timestamp('2022-08-03 00:00:00'), 7997.99), (Timestamp('2022-08-04 00:00:00'), 6888.83), (Timestamp('2022-08-06 00:00:00'), 7341.35), (Timestamp('2022-08-07 00:00:00'), 7997.99), (Timestamp('2022-08-09 00:00:00'), 6888.83), (Timestamp('2022-08-10 00:00:00'), 7341.35), (Timestamp('2022-08-11 00:00:00'), 9986.0), (Timestamp('2022-08-13 00:00:00'), 6888.83), (Timestamp('2022-08-14 00:00:00'), 9986.0), (Timestamp('2022-08-16 00:00:00'), 7997.99), (Timestamp('2022-08-17 00:00:00'), 7313.66), (Timestamp('2022-08-18 00:00:00'), 9986.0), (Timestamp('2022-08-19 00:00:00'), 7997.99), (Timestamp('2022-08-20 00:00:00'), 6888.83), (Timestamp('2022-08-21 00:00:00'), 6866.7), (Timestamp('2022-08-22 00:00:00'), 6888.83), (Timestamp('2022-08-23 00:00:00'), 7997.99), (Timestamp('2022-08-24 00:00:00'), 6866.67), (Timestamp('2022-08-27 00:00:00'), 7993.0), (Timestamp('2022-08-29 00:00:00'), 7997.99), (Timestamp('2022-08-30 00:00:00'), 7993.0), (Timestamp('2022-09-10 00:00:00'), 7997.99), (Timestamp('2022-09-13 00:00:00'), 7179.0), (Timestamp('2022-09-16 00:00:00'), 6888.83), (Timestamp('2022-09-18 00:00:00'), 7997.99), (Timestamp('2022-09-20 00:00:00'), 6866.4), (Timestamp('2022-09-23 00:00:00'), 7997.99), (Timestamp('2022-09-24 00:00:00'), 6888.83), (Timestamp('2022-09-25 00:00:00'), 7997.99), (Timestamp('2022-09-27 00:00:00'), 6888.83), (Timestamp('2022-09-28 00:00:00'), 7997.99), (Timestamp('2022-09-29 00:00:00'), 6866.1), (Timestamp('2022-09-30 00:00:00'), 7996.9), (Timestamp('2022-10-01 00:00:00'), 6888.83), (Timestamp('2022-10-03 00:00:00'), 7996.9), (Timestamp('2022-10-04 00:00:00'), 7183.56), (Timestamp('2022-10-05 00:00:00'), 6888.83), (Timestamp('2022-10-07 00:00:00'), 7183.56), (Timestamp('2022-10-10 00:00:00'), 6888.83), (Timestamp('2022-10-11 00:00:00'), 7183.56), (Timestamp('2022-10-12 00:00:00'), 7996.9), (Timestamp('2022-10-13 00:00:00'), 7182.99), (Timestamp('2022-10-14 00:00:00'), 7996.9), (Timestamp('2022-10-17 00:00:00'), 6866.1), (Timestamp('2022-10-18 00:00:00'), 6299.99), (Timestamp('2022-10-19 00:00:00'), 6866.1), (Timestamp('2022-10-20 00:00:00'), 7996.9), (Timestamp('2022-10-22 00:00:00'), 7182.98), (Timestamp('2022-10-27 00:00:00'), 7996.9), (Timestamp('2022-11-16 00:00:00'), 6866.1), (Timestamp('2022-11-17 00:00:00'), 7054.99), (Timestamp('2022-11-18 00:00:00'), 6892.97), (Timestamp('2022-11-19 00:00:00'), 7996.9), (Timestamp('2022-11-20 00:00:00'), 6298.99), (Timestamp('2022-11-22 00:00:00'), 7055.0), (Timestamp('2022-11-23 00:00:00'), 7065.0), (Timestamp('2022-11-24 00:00:00'), 7055.0), (Timestamp('2022-11-25 00:00:00'), 6298.99), (Timestamp('2022-11-26 00:00:00'), 6514.89), (Timestamp('2022-11-27 00:00:00'), 7996.9), (Timestamp('2022-11-29 00:00:00'), 6918.97), (Timestamp('2022-11-30 00:00:00'), 6866.1), (Timestamp('2022-12-01 00:00:00'), 6298.99), (Timestamp('2022-12-02 00:00:00'), 6866.1), (Timestamp('2022-12-03 00:00:00'), 6534.89), (Timestamp('2022-12-04 00:00:00'), 7399.0), (Timestamp('2022-12-05 00:00:00'), 6298.99), (Timestamp('2022-12-07 00:00:00'), 6723.92), (Timestamp('2022-12-08 00:00:00'), 6705.87), (Timestamp('2022-12-09 00:00:00'), 6298.99), (Timestamp('2022-12-10 00:00:00'), 6687.8), (Timestamp('2022-12-13 00:00:00'), 6869.09), (Timestamp('2022-12-17 00:00:00'), 6298.99), (Timestamp('2022-12-18 00:00:00'), 6869.09), (Timestamp('2022-12-19 00:00:00'), 6298.99), (Timestamp('2022-12-20 00:00:00'), 6869.09), (Timestamp('2022-12-22 00:00:00'), 7399.0), (Timestamp('2022-12-23 00:00:00'), 6876.09), (Timestamp('2022-12-24 00:00:00'), 7399.0), (Timestamp('2022-12-25 00:00:00'), 7065.0), (Timestamp('2022-12-26 00:00:00'), 6876.1), (Timestamp('2022-12-27 00:00:00'), 7065.0), (Timestamp('2022-12-29 00:00:00'), 6876.09), (Timestamp('2023-01-02 00:00:00'), 7065.0), (Timestamp('2023-01-03 00:00:00'), 6876.09), (Timestamp('2023-01-04 00:00:00'), 7065.0), (Timestamp('2023-01-07 00:00:00'), 6946.02), (Timestamp('2023-01-08 00:00:00'), 6298.99), (Timestamp('2023-01-09 00:00:00'), 7015.95), (Timestamp('2023-01-10 00:00:00'), 7065.0), (Timestamp('2023-01-12 00:00:00'), 7399.0), (Timestamp('2023-01-13 00:00:00'), 7064.99), (Timestamp('2023-01-14 00:00:00'), 6866.1), (Timestamp('2023-01-15 00:00:00'), 7065.0), (Timestamp('2023-01-17 00:00:00'), 7064.99), (Timestamp('2023-01-18 00:00:00'), 7299.0), (Timestamp('2023-01-20 00:00:00'), 9986.0), (Timestamp('2023-01-21 00:00:00'), 7299.0), (Timestamp('2023-01-23 00:00:00'), 9986.0), (Timestamp('2023-01-26 00:00:00'), 7133.58), (Timestamp('2023-01-28 00:00:00'), 7065.0), (Timestamp('2023-01-29 00:00:00'), 7064.99), (Timestamp('2023-01-31 00:00:00'), 7065.0), (Timestamp('2023-02-01 00:00:00'), 7064.99), (Timestamp('2023-02-03 00:00:00'), 7065.0), (Timestamp('2023-02-09 00:00:00'), 6298.96), (Timestamp('2023-02-10 00:00:00'), 7065.0), (Timestamp('2023-02-12 00:00:00'), 6298.96), (Timestamp('2023-02-16 00:00:00'), 6267.4), (Timestamp('2023-02-18 00:00:00'), 7065.0), (Timestamp('2023-02-20 00:00:00'), 7064.7), (Timestamp('2023-02-21 00:00:00'), 7123.21), (Timestamp('2023-02-22 00:00:00'), 7065.0), (Timestamp('2023-02-24 00:00:00'), 6248.6), (Timestamp('2023-02-25 00:00:00'), 6248.58), (Timestamp('2023-02-26 00:00:00'), 7064.7), (Timestamp('2023-02-27 00:00:00'), 7065.0), (Timestamp('2023-03-01 00:00:00'), 6866.1), (Timestamp('2023-03-02 00:00:00'), 7065.0), (Timestamp('2023-03-03 00:00:00'), 6699.99), (Timestamp('2023-03-08 00:00:00'), 7064.7), (Timestamp('2023-03-09 00:00:00'), 6699.99), (Timestamp('2023-03-10 00:00:00'), 7065.0), (Timestamp('2023-03-13 00:00:00'), 6699.95), (Timestamp('2023-03-14 00:00:00'), 7065.0), (Timestamp('2023-03-15 00:00:00'), 6699.95), (Timestamp('2023-03-18 00:00:00'), 7065.0), (Timestamp('2023-03-19 00:00:00'), 6699.95), (Timestamp('2023-03-23 00:00:00'), 7065.0), (Timestamp('2023-03-24 00:00:00'), 6699.95), (Timestamp('2023-03-25 00:00:00'), 7065.0), (Timestamp('2023-03-26 00:00:00'), 7064.58), (Timestamp('2023-03-27 00:00:00'), 6866.1), (Timestamp('2023-03-28 00:00:00'), 7065.0), (Timestamp('2023-03-29 00:00:00'), 7064.58), (Timestamp('2023-03-31 00:00:00'), 7065.0), (Timestamp('2023-04-01 00:00:00'), 7064.58), (Timestamp('2023-04-04 00:00:00'), 7065.0), (Timestamp('2023-04-06 00:00:00'), 7064.58), (Timestamp('2023-04-09 00:00:00'), 6699.95), (Timestamp('2023-04-10 00:00:00'), 7064.58), (Timestamp('2023-04-13 00:00:00'), 7064.56), (Timestamp('2023-04-14 00:00:00'), 7064.58), (Timestamp('2023-04-15 00:00:00'), 7065.0), (Timestamp('2023-04-16 00:00:00'), 7064.45), (Timestamp('2023-04-17 00:00:00'), 7064.46), (Timestamp('2023-04-18 00:00:00'), 6866.1), (Timestamp('2023-04-19 00:00:00'), 7065.0), (Timestamp('2023-04-20 00:00:00'), 6698.98), (Timestamp('2023-04-21 00:00:00'), 6699.99), (Timestamp('2023-04-22 00:00:00'), 7064.26), (Timestamp('2023-04-23 00:00:00'), 7065.0), (Timestamp('2023-04-24 00:00:00'), 7064.15)]",2021-03-03,5489.99,406.0464285714286,20.7091451896998,0.46612106761578803
[Dual CPU] AMD EPYC 9654,2,96,149727.0,2852.0,360.0,Server,"[(Timestamp('2022-11-10 00:00:00'), 11805.0), (Timestamp('2023-04-17 00:00:00'), 6998.0)]",2022-11-10,11805.0,415.90833333333336,12.683354510800509,0.24159254553155443
[Dual CPU] Intel Xeon Platinum 8180 @ 2.50GHz,2,28,61751.0,2289.0,205.0,Server,"[(Timestamp('2017-07-01 00:00:00'), 10015.0), (Timestamp('2022-07-13 00:00:00'), 7949.99), (Timestamp('2022-08-27 00:00:00'), 6084.0), (Timestamp('2023-04-08 00:00:00'), 5897.95)]",2017-07-01,10015.0,301.22439024390246,6.1658512231652525,0.22855716425361958
[Quad CPU] Intel Xeon Platinum 8260 @ 2.40GHz,4,24,83793.0,2297.0,165.0,Server,"[(Timestamp('2019-04-01 00:00:00'), 4702.0), (Timestamp('2021-11-09 00:00:00'), 3378.7), (Timestamp('2023-04-21 00:00:00'), 2839.94)]",2019-04-01,4702.0,507.8363636363636,17.82071458953637,0.48851552530837944
[Dual CPU] Intel Xeon E5-2699 v4 @ 2.20GHz,2,22,41112.0,2071.0,145.0,Server,"[(Timestamp('2023-04-14 00:00:00'), 5395.64)]",,,283.5310344827586,7.619485362255451,0.38382842443157805
[Dual CPU] Intel Xeon Platinum 8358 @ 2.60GHz,2,32,82565.0,2331.0,250.0,Server,"[(Timestamp('2021-04-01 00:00:00'), 3950.0), (Timestamp('2021-10-09 00:00:00'), 4455.0), (Timestamp('2022-03-22 00:00:00'), 5097.75)]",2021-04-01,3950.0,330.26,20.90253164556962,0.590126582278481
[Dual CPU] AMD EPYC 75F3,2,32,99758.0,2616.0,280.0,Server,"[(Timestamp('2022-05-31 00:00:00'), 4999.0), (Timestamp('2022-10-27 00:00:00'), 4998.99), (Timestamp('2022-11-20 00:00:00'), 4999.0), (Timestamp('2023-03-08 00:00:00'), 4309.88), (Timestamp('2023-03-18 00:00:00'), 4999.0), (Timestamp('2023-03-19 00:00:00'), 4309.88), (Timestamp('2023-04-08 00:00:00'), 4999.0), (Timestamp('2023-04-10 00:00:00'), 4309.88), (Timestamp('2023-04-12 00:00:00'), 4999.0), (Timestamp('2023-04-13 00:00:00'), 4309.88), (Timestamp('2023-04-15 00:00:00'), 4999.0), (Timestamp('2023-04-16 00:00:00'), 4309.88), (Timestamp('2023-04-21 00:00:00'), 4999.0), (Timestamp('2023-04-22 00:00:00'), 4309.88), (Timestamp('2023-04-23 00:00:00'), 4999.0), (Timestamp('2023-04-24 00:00:00'), 4309.88)]",2022-05-31,4999.0,356.2785714285714,19.955591118223644,0.5233046609321864
